"","track_name","track_id","artist_name","duration_ms","popularity","explicit","album_name","album_id","release_date","playlist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"22","Nail Tech","62Yo3FDddWY8ydu6PW2wyz","Jack Harlow",206385,75,TRUE,"Nail Tech","72r4dr0xDsXOWRwP2o7ZIP",2022-02-18,"chasin paper",0.677,0.557,1,-8.409,1,0.0694,0.00508,8.36e-06,0.0984,0.1,150.127,4
"23","Dreams Unfold","5ChX0Yt1wPpRJFPPecJZPh","Joyner Lucas",201081,63,TRUE,"Dreams Unfold","5sAWMGha4PtgcM7CWksfE6",2021-08-25,"chasin paper",0.869,0.62,9,-5.308,1,0.191,0.36,0,0.103,0.961,148.041,4
"24","Disrespectful (feat. ScHoolboy Q)","4vlQBryZKYcPeclRx4yX7K","Childish Major",204093,33,TRUE,"Thank you, God. For it all.","7w45wsr130MbFpfZ9yA9ni",2021-07-23,"chasin paper",0.907,0.551,5,-8.314,0,0.493,0.0533,0,0.117,0.711,145.027,4
"25","Rambo","0lihymBRdQmqdUFDTMyLRU","Joyner Lucas",211653,56,TRUE,"Rambo","1Igno8iFQcVi2jWe94h4Lr",2021-12-03,"chasin paper",0.798,0.482,6,-9.045,0,0.43,0.282,2.06e-06,0.127,0.45,95.263,3
"26","SUVs (Black on Black)","1MIGkQxcdAt2lDx6ySpsc5","Jack Harlow",157675,71,TRUE,"SUVs (Black on Black)","4K3SQSfKMXLcVnyUSFELZw",2021-08-03,"chasin paper",0.801,0.688,1,-4.594,1,0.396,0.144,0,0.107,0.5,162.928,4
"27","ICE (We Should Do Drugs)","6cIve9jrdy8qBm4YLswXoB","Labrinth",165978,54,FALSE,"EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES)","43tSLc6ZxW8TTRLrBO0SU1",2022-04-22,"chasin paper",0.852,0.35,9,-9.361,0,0.101,0.0653,0.812,0.1,0.447,123.009,4
"28","Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)","5x8NgG7Ya18m9wafOvvWYk","A$AP Rocky",174862,67,TRUE,"I Know NIGO!","75T8WnF5n7fgKJ0EC7WRPS",2022-03-25,"chasin paper",0.458,0.697,1,-5.02,1,0.325,0.0185,0,0.784,0.495,172.584,4
"29","Knife Talk (with 21 Savage ft. Project Pat)","2BcMwX1MPV6ZHP4tUT9uq6","Drake",242965,84,TRUE,"Certified Lover Boy","3SpBlxme9WbeQdI9kx7KAV",2021-09-03,"chasin paper",0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,4
"30","Surround Sound (feat. 21 Savage & Baby Tate)","0cp97b37sFNsdIbQH6po3T","JID",229938,76,TRUE,"Surround Sound (feat. 21 Savage & Baby Tate)","0MdgqhI26wmlQ1aLV5y2Ks",2022-01-14,"chasin paper",0.57,0.573,5,-6.935,1,0.476,0.156,0,0.256,0.517,76.006,4
"31","Guap","7G0PgkkbavF7Rh4zNrUxH0","Big Sean",271653,50,TRUE,"Hall Of Fame (Deluxe)","5RlT8X7XGGLKUhoimrDl54",2013-01-01,"chasin paper",0.65,0.723,1,-5.807,1,0.172,0.311,0,0.412,0.556,146.076,4
"32","Silent Hill","3tYTyAt1q6BFBiGyYVOLhi","Kendrick Lamar",220779,55,TRUE,"Mr. Morale & The Big Steppers","1atjqOZTCdrjxjMyCPZc2g",2022-05-13,"chasin paper",0.907,0.577,1,-6.737,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,4
"33","Solid (feat. Drake)","6rTInqW3YECMkQsBEHw4sd","Young Stoner Life",215693,75,TRUE,"Slime Language 2","3ihwKkIMJWmmp1huNH0iWC",2021-04-16,"chasin paper",0.887,0.485,11,-9.358,0,0.2,0.0392,0,0.141,0.328,125.987,4
"34","Let's Get It (Remix) [feat. 21 Savage]","27jThnrlCYR5fqSaRfjmxX","Hunxho",156995,56,TRUE,"Street Poetry","424KidkXx9YRSRIEqJwQzy",2022-03-04,"chasin paper",0.863,0.499,7,-8.602,0,0.514,0.0758,0,0.104,0.76,80.073,4
"35","HEAVEN BELONGS TO YOU","5SecO8b3bvFNBTtrTyt91o","BROCKHAMPTON",89613,47,TRUE,"GINGER","1jToVugwBEzcak8gJNZG2f",2019-08-23,"chasin paper",0.68,0.634,7,-8.446,1,0.36,0.0208,2.02e-06,0.479,0.693,155.911,4
"36","IF YOU PRAY RIGHT","56IGGA6VwAbIni6KoN7VC5","BROCKHAMPTON",302360,49,TRUE,"GINGER","1jToVugwBEzcak8gJNZG2f",2019-08-23,"chasin paper",0.471,0.496,7,-9.983,1,0.199,0.399,0.00083,0.378,0.569,160.093,4
"37","Majin Buu","7IrbvK5Z6IDXvTQel8F94i","Anoyd",208675,39,TRUE,"Majin Buu","7gn8Iq3Abd90DFIuqvdnLs",2020-11-17,"chasin paper",0.787,0.48,8,-7.447,1,0.0755,0.0766,0.000414,0.133,0.472,75.974,4
"38","Big Fish","1CHhAINmT48RpXE5owAo3Q","Chance the Rapper",186784,43,TRUE,"The Big Day","7bgi7zCoDsZdlLKPonHZqP",2019-07-26,"chasin paper",0.822,0.598,4,-6.804,0,0.37,0.319,0,0.109,0.595,176.046,4
"39","10 Bands (feat. Timbaland)","4Ug1vwXoxWVZkarqB4XPfh","Joyner Lucas",214944,50,TRUE,"ADHD","5qkWpkGMULLVnSHb3Sej4X",2020-03-27,"chasin paper",0.879,0.875,11,-5.298,1,0.0685,0.0741,0.000265,0.0926,0.784,130.011,4
"40","Cash Machine","2UzQdfooGVIeGjqcUMOBWY","DRAM",181154,47,TRUE,"Big Baby DRAM","7CHEC1kVstFUDPTxB3Hz2V",2016-10-21,"chasin paper",0.745,0.669,9,-3.613,1,0.129,0.522,0,0.154,0.699,143.164,4
"41","Couch Standing","4gTu6dEe07qg83pVSKn4Bn","Nieman J",193548,36,TRUE,"Optimal Music","23sEzf5ud6KlBxECGK0dZ2",2020-04-24,"chasin paper",0.955,0.503,1,-9.407,1,0.115,0.222,0,0.11,0.299,124.127,4
"42","Mr. Right Now (feat. Drake)","4Q34FP1AT7GEl9oLgNtiWj","21 Savage",193838,73,TRUE,"SAVAGE MODE II","6wTyGUWGCilBFZ837k5aRi",2020-10-02,"chasin paper",0.647,0.667,5,-5.563,1,0.304,0.231,0,0.133,0.704,172.08,4
"43","Baby (Lil Baby feat. DaBaby)","5MPPttjfGap2C6j6eKcO6J","Quality Control",142417,74,TRUE,"Quality Control: Control The Streets Volume 2","59zpaLOByFkJhc9D5Xqna9",2019-08-16,"chasin paper",0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,4
"44","NASTY GIRL / ON CAMERA","2f8y4CuG57UJEmkG3ujd0D","Gunna",230600,62,TRUE,"WUNNA","0gA0nZrZ55PLUp7ARfrICu",2020-05-22,"chasin paper",0.598,0.472,0,-10.991,1,0.258,0.204,1.54e-05,0.108,0.522,120.08,4
"45","It Ain't Easy, It Ain't Easy (feat. Nyck Caution, Kirk Knight, CJ Fly & AKTHESAVIOR)","4krhkcFf3OqxHSS1QUIsmc","Beast Coast",220960,46,TRUE,"Escape From New York","1NPxBmG3k3UzybcaxxSVuB",2019-05-24,"chasin paper",0.809,0.597,10,-7.428,0,0.202,0.0429,4.5e-05,0.117,0.327,142.011,4
"46","Super","3sjtQ07ptlPzw2N4YmGW3S","Cordae",177553,66,TRUE,"From a Birds Eye View","3N3alcn9EvmanafUt70Vxh",2022-01-14,"chasin paper",0.899,0.695,1,-4.749,1,0.346,0.113,0,0.112,0.394,139.027,4
"47","Babushka Boi","643PW82aBMUa1FiWi5VQY7","A$AP Rocky",187105,67,TRUE,"Babushka Boi","3zOkSAbg9o7gQ3yXtZhx5v",2019-08-28,"chasin paper",0.897,0.743,10,-5.446,0,0.222,0.304,4.44e-05,0.137,0.905,134.979,4
"48","I Won","1viUV5EGlKGCiSveBfFeQg","Ty Dolla $ign",175639,59,TRUE,"I Won [From F9 The Fast Saga Original Motion Picture Soundtrack]","01RtA0qCjfGy0FY4ON23nD",2021-06-04,"chasin paper",0.762,0.788,9,-4.087,0,0.174,0.272,0,0.114,0.672,140.993,4
